	H1C	H2C	H3C	C1C	C2C	C3C	gor1C	Pon1C	SiaC1	SiaC2	rhesus1C	rhesus2C	rhesus3C	Bab1C	Bab2C	Bab3C	Mar1C	Mar2C	Mar3C	sqmnky1C	saki1C	ateles1C	ateles2C	Nem1C	patas1C	patas2C	patas3C	lemur1C	lemur2C	eulemur1C	sleloris1C	slowloris1C	slowloris2C	pygslowloris1C 
NG_029905.1	4062.07	1504.68	1735.27	6205.62	3683.42	4320.62	7448.15	3520	3112.6	3018.24	3678.04	3118.04	2116.38	4359.26	5574.02	6677.87	3369	6917	4350	3131.97	10857	6783.76	1269.08	4826.57	7685.57	6105.43	6618.74	3214.88	2401.59	31.07	4193.82	6314.15	2382.42	8
NG_029906.1	3553	1079	1950	6008	2090	881.03	2953.5	5	1574	2677	3171	2426	1826	4797	1987	1024	8734	7948	6378	1534.12	2006.52	3097	966	8	4671.7	4703.24	6512.23	4220	5111	2702	163.73	1412	230	4152
NG_029908.1	53.83	84.88	16.52	2319	718	482	203	394.64	280	724	886.59	687.15	494.79	1640.82	2864.99	1977	206	150	130	47	27	825.56	10	1215	28.69	7	24	15	12	1335	602.29	657	392.15	864
NG_029911.1	32	2	10	567	177.51	230.67	284	14	705.98	714.24	15	17	12	11.87	1.97	0	244.2	224.42	90.21	433	60.43	909	429	143	28	123	22	1733	2644	150.41	567	0	30	919
NG_029917.1	11675.96	3834.68	7197	16726.35	2980.93	2466.93	9613	7360.13	986	214	21222.55	21678.66	13538.46	5506	847	340	31272.8	27243.2	24529.85	8552	568.29	9042.47	6556.85	216	7327.97	16830.64	21558.63	72	7	6678.07	450	7372.43	5508.69	147
NG_029919.1	931	219	493	1158	192	245	1030	445	578	1285	3922	3762	2763	590	669	795	5325	4495	4195	540	972	1160	487	1594.38	1102.62	2457	2631.41	521.28	347.97	314.91	963.96	160	58	897
NG_029924.1	41.53	24	0	5236.3	1826.57	952.65	66	15	54	33	58.86	36.5	37.46	20	11	5	43	37.97	17.67	34	30	51	19	16	12	11	25	6	7	17	1235	23	20	6
NG_029930.1	3770.91	833.97	2337.03	5062.83	1569.54	462.42	3363	2396	1474	5074	5230	4517	2866	4413	1437	740	7978	7784	7296.16	32	514	0	129.72	3210	6	29	44	16	7	8	1053	23	32	11
NG_029933.1	2477.79	866	1501	4379.49	3726.94	1477.79	3454.52	76	5106	11458	6615.37	6073.36	3308.94	6640	7943	7880	5103	5106	3914	3378	1875	4095.78	854	105	4121	3929	5764	8675.07	5432.36	64	142	537	379	48.59
NG_029938.1	243	174	82	3905	899	411	2863	775	340	1648	2538	2058	1267	4153.92	8358.13	8388.24	2120	2840	1795	7811.74	80.6	1249.65	63.49	2143	2795	5414	6046	3938	1496	26	602	801	125	81
NG_029940.1	532	348	380.67	401	31	63	290	10	61	7	320	269	264	1331	503	123	14	24	21	1602	420	30	102	14	369	756	915	251.71	143.57	13	331	24	5	24
NG_029948.2	61	18	32	176	53	1	329.6	81	150	311	420	408	175	2552.75	3476.18	3828.97	1693	1657	1360	99	238	141	5	1930.89	1901.62	2017.42	2473.02	5.33	6.75	34	23	1292.21	411	74
NG_029954.1	56	18	54	2459	1645	1252	1301	7	659.52	2235	101	126	79	62	5	0	2029	1433	1343	1240	1521	1021	1813	74	8	48	66	4011	2107	44	535	1907.27	152.52	109
NG_029955.1	8386	2541	4702	7233.97	2075.63	1166.94	6872.31	109	100	196	6996.02	6683.82	4651.12	7789	1892	1437	5018.95	4446.4	3892.37	369	3228.29	5196	2528	7098	6501	6606.94	7824	53	28	217	631	3711.47	1380.37	135
NG_029960.1	34	2	14	92	14	3	5257	22	3946	6870	8216	8103	5430	6987	2498	1743	7811	7005	7381.8	341	5604.42	5763.45	5874.38	5741	2273	5085	5788	2037	1587	1200.91	1240.48	2	0	0
NG_029962.1	1299	529	748	1659.17	138	10	3870.93	285.3	384.24	1244.49	811.95	861.69	711.69	311.74	228.61	122.63	1122	976	886	694.69	55	228	21	1345.87	863.71	1521.95	2105.15	23	20.38	62	10	409	69	229
NG_029966.1	1240	282	898	331.64	230.13	123.02	24	6	45.47	47.26	20	15	12	3126.44	7830.91	9999.14	10856	11463	9528	97	8	628	262	14	1400	1814	1067	0	0	49.55	142	64	80	3
NG_029967.1	3775	975	1800	3254.06	829.44	138.79	3261	21	91.08	90.57	2990	3005	2458	3562.81	557.12	244.67	3349.37	2712.21	2586.5	145	169	2139	219	1733.06	514.84	1225.74	1844.14	2	1	13	14	330	31	2963
NG_029968.1	2988	835	1613	3	19	21	4	6	1	18	15	20	25	921	1716	2153	109	166.04	70.82	607	23	68	4	23	71	114	62	23	12	21	5	24	11	32
NG_029972.1	40	4	8	117.67	38.86	10	2221.38	34.18	4312.81	5352.9	91	95	48	1618.3	3705.45	4888.39	46	118	116	511	114.92	1411	704	2477	5013	5486	3889	36	24	10	90	122	36	1932.13
NG_029982.1	606	189	356	84	58	56	866	486.19	394.94	722.53	208	312	216	626.25	568.48	558.3	1417.08	1577.17	1331	578	245	487	110	681	341	366	174	1233	773	880	302	1103.06	477	683
NG_030010.1	43	6	21	83	18	7	66	18	4146	6384	9931.63	9113.61	5936.93	3215	2975	2386	37.06	42.91	19	3169.2	4803	339	40	1249.87	48	88	96	10	5	5	78	45	29	52.23
NG_030011.1	72	28	30	83	53	45	482.19	36	3887.85	2462.79	66	74	65	148	59.45	61.44	28	26	37	62	100	502	355	44	52.78	68.12	111.19	17	13	216	2	27	14	53
NG_030012.1	4119.49	1328	2172	4088	1216	1022	3739.68	2800	2474	5186.7	4059	3583	2551	2728.02	1444.52	991.31	7643.73	6237.15	4898.98	2965.04	2624.51	3435	546	2863	2768	3329.99	3276.14	4848	2110	143	1335	2927.05	771.57	8403.51
NG_030013.1	2974.23	878.32	3067.27	5077	4422	12929.47	1517.49	2902	2628	1965	2658.85	3084.63	1518	2124.68	8170.83	10532.84	685.14	821.95	599.57	743	147	6095	5402	1569	3509	4335	2324	5	12	661.35	14	135	94	22.16
NG_030015.1	19	0	10	8.98	87.23	100.15	17	14	445	665	47	36	20	42	17	4	1305.79	1179.14	986.4	36.17	242	17	0	27	848	899	709	19	81	38	661	658.25	134.1	55
NG_030016.1	576	248	546	0	25	173	26.83	132	6178.36	3376.32	1312	1402	818	581	137	77	403.76	22.96	0	490	728.06	1	185	28	56	6	30	242	865	509	114	19	88	2626
NG_030017.1	46	62	18	2148	1096	880	3405	668.35	1353	3345	4626.26	5225.55	3244	78	12	1	6688	6095	5697	3194	239.7	3246.11	1720	3031.02	2490	5223	5619	8	0	4433	23	45	72	14
NG_030018.1	30	54	14	1603	364	275	42	743	31	18	46	77	39	32	3	0	769	701	691	174	125	340	281	563	389	771	611	664.98	409.91	12	97	13	16	499
NG_030019.1	31	9	11	2	5	55	12	5	68.56	88.79	15	1	10	0	0	2	5	8	3	94.77	118.25	190.91	25.92	2	1	3	3	9	0	28	48	229	261	12.67
NG_030020.1	25845	4862	15592	8281.08	2745.03	1166	331.21	3884	1790	6189	20881.07	20836.55	11444.67	8436	7106	8232	1403.59	1699.96	1298.19	13698	6677	8034	642	1136	6864	10548	11326	21183	7810	5131	2696.35	1058	735	6082
NG_030025.1	2258	575	1474	2542.21	1007.36	1056.57	2049	74.65	738	1519	2982	2729	1773	1007.88	1070.45	713	2030	1927	1910	66	1318	937	124	999.82	849.02	1390.58	1269.13	46.35	10.31	49	47	1788	458	157
NG_030026.1	53	165	20	65	52	180	557	41	450	1640	1494.41	1715.7	862	71	17	13	756	790	525	184	137	82	254	418	29	33	37	42	31	79	727	704	192	300
NG_030027.1	3	7	0	7	7	11	2	1	18	7	1381	1198	870	9	2	0	13	11	11	915.63	830	20	15	9	8	6	4	6	6	25	72	507	187	5
NG_030032.1	1	2	2	256.25	48.86	741.24	78.15	10	444.82	641.32	256	208.47	192	11	2	1	11	21	16	92	14	28	8	8	92	125	143	6	4	4	6	6	6	2
NG_030033.1	557	216	283	260	104	66	14	28	129	226	1013	840	561	535	103	84	1120	932	1270	350	275	40	52	798	411	761	894	70	24.27	12	501	92	31	22.39
NG_030034.1	1400	400	1157	5493.48	3896	2671	509.1	443	1397	1273	2231.04	1931.2	1169.15	108	50	85	1008	1168	817	343	188.94	4061	1523	757	4084.35	3445.15	3987.9	7	13	24	28	2802.96	1324.7	2
NG_030039.1	11	30	4	0	5	25.82	13	20	42	2	35	23.33	13	5	2	6	683.62	559.63	508	6	1614.21	55	38	24	2	8	5	11	10	11	5	13	11	1
NG_030048.1	2630	661	1312	16	9	29	12	17	493	1295.86	4685	4004	2456	4576.8	7306.11	8686.46	333	407	363	444	314	2154	1043	3724	1572.13	1622.26	2052.53	6	7	9	397	60	45	1608
NG_030312.1	10	2	2	406	161	228	5	66	218.63	830	1116	838	668	715	682	260	3913.2	3718.08	2945.75	277.58	140	144	282	325	752	854	1087	56	70	223	856	16.02	7.3	32
NG_030314.1	3463	1211	1940	55	81	107	13	10	66	31	266.72	169.42	117.47	60	28	41	39	37	46	54	11	6670.92	667	27	30	21	31	19	26	14	1947	64	48	348
NG_030324.1	29	70	11	65	11.37	2.83	47	339	122	13	5	7	6	1381	1156	728	5	6	5	13	17	5	68	4	2	5	8	6	0	37	108	0	1	2
NG_030328.1	11	21	9	2	4	67	2	2	2	3	3	9	1	0	2	0	0	0	3	4	0	17	17	2	3	3	8	2	0	2	2	91.69	14.97	8
NG_030329.1	831	182	424	442	202	224	131	64	34.12	14.29	1716.77	1824.62	1505.84	20924	8217	5117	6.08	7	10	165	221	636	982	155	364	507	424	23823.98	15511	1520	157.29	20	0	15517.87
NG_030330.1	419	78	719	495	375	1890	343.99	6	80	225	4839	4568	2525	3206	10822	11590	273.36	1013.63	733.59	525	650.15	514.93	1518.51	678.3	3110.97	3718.67	1876.62	5451.38	3464.54	107	7	6	0	24.06
NG_030333.1	2515	993	1782	10750	4042	7052	2298	853	860	924	1783.28	2379.14	960.79	1193.35	4117.88	4435.85	3791.97	5801	4106	1447	1636.53	4083	606	1597	1298	1617	1612	1177	191	2408	27031.11	14191.16	17399.36	2066.57
NG_030334.1	127	41	101	0	8	23	5	2	34	6.98	9	19	8	175	32	11	167.19	206.53	289	8	0	163	10	12	8	6	12	0	0	0	0	12	6	2
NG_030335.1	1870	414	1442	1495	1091	1671	2683	18	845	636	648	524	479	795	260	169	2401	1806	2163	409	927	1420	1587	860	563	579	490	2	3	1747	141	491	196	847
NG_030339.2	339	85	88	4436.63	1554.93	836.67	3135	2227.53	3670.65	5154.48	4031.25	3959.32	2447.99	3963.17	2764.24	1939.23	5787	6585	5793	7018	2750.71	3412.41	82.69	3446.62	3265.52	3286.11	3941	14	17	4480.66	10	57	11	70
NG_030340.1	24.28	57	17.56	2507	1414	558.57	1201.74	1507	2037	5207	5606	5621	3929	4980	1416	544	1595	1283	1330.52	497	1050	2412	497	2816	2474	4903	6053	32.33	15	2887	119	1587	253	1430
NG_030341.1	127.46	34	37.91	8383	8767	5258.99	8928	33	205.95	210.6	7150	5673	3506	5757	2859	3333	5484	5277	3735	217.5	240	132	0	7175	627	602	553	25	10	101	19	87	39	65
NG_030343.1	1171	618	1009	30	25	65	725	571	677	783	663	429	397	896	381	154	402	383	427	242.48	184	925	1617.86	629	784	714	551	330.69	153	585	64.02	690	238	1
NG_030346.1	1344	668	1249	3089	414	249	630	21	49.08	153.42	1014	911	530	954	2201	2951	1155	1788	1296	593	663	2207.33	3615.9	686	970	1393	1082	80	61	1962.36	9	1484	735	985
NG_030347.1	553	250	261	2028	675	260.2	510.59	11	1581	2268	977.79	1349.51	584.74	1613.36	1738.93	1267.9	2291.93	2154.39	1547.67	1850	198.06	145	26	625.07	542	1201	2222	22	5	88	261	575.98	112	38
NG_030349.2	19	24	18	485.88	217	267	38	11	406	513	446	706	350	584	193	109	47.3	63.03	64.62	136.28	27.66	39	72	401.15	13	7	13	12	11	9	23	11	12	15
NG_030352.1	6894	2287.06	3536	117	13	8	210	83	508	355	7546.87	6982	4515	114	26	10	8845.81	7571.21	7026.78	7985.75	150	3884.37	974	6375	5166	8027	8365	4798.59	1897.68	288.68	850	6201	4500	8521
NG_030353.1	36	7	34	4	3	28	10.03	1	11.24	10	10	7	8	31	48	94	0	3	9	6	2.21	3	0	10	5	13	7	5	0	0	2	3	0	5
NG_030354.1	47	45.76	5	186.5	43.29	78.93	24	9	26	10	11	5	19	36	20	10	55.44	24.25	34	23	31	2058	317	32	84.56	74.52	94.67	20	3	20	14	49	14.69	0
NG_030365.1	946.97	558.32	326.57	229	181	215	170	43	68.87	92.95	211	135	92	204	265	287	178	196	214	162	58	292.56	6	229	720	1060	1425	14	8	230	537.29	323	599	132
NG_030368.1	53.05	36	101	596	378.2	158.76	240	73	169	438	1290	1286	767	370	296	111	1271	1235.57	1835.15	538	850	280	816	553	716	1647	1102	6	0	308	16	6	12	6
NG_030369.1	245	474	165	734	235	111	1273.44	223.45	431	880	817	975	488	106	14	4	113	83	65	273	502	48	99	116	34	103	114	101	34	164	75	93	8.89	196
NG_030371.1	40	43	9	50	79	97	2103.82	846	1169	1639	622	1236	672	1838.05	1166.98	1562.96	112	119	49	2	7	76.11	112	1728	861	996	1830	2	2	1	3	51	2	1
NG_030373.1	0	36.37	0	812	362	153	845.9	43.57	763	2065	887	838	554.7	62	8	1	29.51	27.22	25.2	45.21	14	640	307	615	446	508	761	962.09	512.26	62	181	31.67	109.81	54
NG_030377.1	259.39	109.32	170.82	156	113	118	19	38.54	159	156	178	110	78	165	115	69	357	481	457	69	88	57	141	143.78	129	110	105	78	41	88	71.53	250	114	30.53
NG_030394.1	2295.5	738.9	1217	3800.57	2236	1721	1261.73	1475.53	997	3933	5191	3297	2350	4318	6264	9543	3207.72	3314.08	2976.4	1735.41	2265.65	3123.2	1462.4	1633	1861.9	1367.75	1799.71	358.65	1155.51	1491.85	191.57	1093.94	335.08	1630.27
NG_030403.1	103	66	36	8315.9	3250.79	621.4	6354.89	1693	714.59	190.76	6386.35	4977.26	3607.65	6058.07	2167.54	1390.68	7967.71	8159.9	6128.52	4931	128.02	3889.59	880	5273.18	1791.76	2092.25	3683.84	3922.65	3785.84	21	195.12	24	28	7
NG_030404.1	24	4	3	5	8	12	12	8	13	1	140	105	88	12	0	0	27	1	3	813	92	534	1253	7	1	2	3	9	11	9	204.19	70	26	230
NG_030414.1	46	34	55	38	27	62	2	9	71.18	154.98	52	36	68	569	17	5	17	21	18	149	376	316	358	365	168	78	28	1	0	13	26	7	52	2
NG_030415.1	655.55	201.97	368.33	47	50	68	37	4	412	680	580	529	320	686.79	305.5	264	47.26	59.75	6.25	46	64	1159	620	511	24	50	11	759	543	8	11	735	279.76	6
NG_030416.2	178	146	104	2726.82	790.77	223.96	4184	3463	4616	6313	4292	3522	2676	6893	11275	7937	6510	6823	6046	4384.76	2758	4367	698	3857	4142	4275	4417	4337	3293	10	17	3918.01	682.95	5679
NG_030437.1	248	301.7	130.54	5112	2774	1075	8	4	120	70	38.46	29	31	41.8	8.39	4	6053.92	5591.86	5554	49	24	85	63	4187	20.12	14.1	26.14	76	29	91	276	87	54	9
NG_030438.1	0	0	4	7	3	5	5	9	0	0	39.09	21.11	29.8	21	0	0	4	2	11	120.61	0	13	1	14	17	33	37	482.96	227.98	6.95	416	207.48	170.78	2
NG_030439.1	4850	1348	3493.25	5838.56	1970.57	1850.24	2559.91	2531	2279.52	6599.66	6533	5874	4338	5544	1493	858	9105.71	7992.69	9015.58	4488.36	3182	1925	721	3401.56	2328.03	4391.86	4686.63	58	9	36.44	1030	1731.88	546	5676.75
NG_030461.1	2310.14	385	1127.44	7975	2080	2145	4276.94	1802	5380	8347.91	7564	6462	4033	5575.63	5730.02	5050.92	4311	6467	4489	4088	5386.87	5506	1745	5997	5588	5610	6714	3528.61	1803.08	8951	3630.32	3654	759.9	3329.05
NG_030484.1	99	23	58	1317.08	367.31	237	35	27	325.51	700.77	407	434	232	113	41	24	61	33	18	201	90	5	132	331	101	113	182	169	74	113	166	355.62	112	609
NG_030588.1	169	46	110	273	147	288	49	55	82	118	79	22	62	45	13	3	1	0	3	1	5	95	520	70	67	97	31	618	147	202	130	37	3	2
NG_031806.2	352	62	340	161	27	15	116.2	18	102	104	74	28	38	62	31	37	1876	1795	1545	151	28	16	28	8	1224	1547	1297.01	96	21	1	28	579	244	41
NG_031813.1	22.88	20.52	3	415.56	85.81	14.42	1154	17	24	50	15	34	39	25	4	4	825.96	686.8	643.92	403.06	107	55.31	135.02	695	43.18	32.11	67.46	223	26	1159	127	9	2	5
NG_031822.1	17	5	32	22	13	36	287	8	20	15	784	796	528	16	4	0	1640.04	1605	1919.59	18	10	1292	1419.63	23	3	21	19	437.75	265.58	8	27	7	26	12
NG_031823.1	11	20	9	692	1152	922	29	42.02	783	992	22	29	15	58	33	34	12	3	4	30	644.08	14	9	10	55	100	68	8608.58	5975	8	123	275	235	297
NG_031835.1	0	0	0	0	11	10	0	0	282.44	314.89	357	948	348	1389.16	144	112	3.06	2	1	0	7	69	3	1594.17	1	3	0	33	6	23	26	19	5	10
NG_031847.1	201	62	45	3955.34	4509.63	2778	183	1422.75	2799	3621	58	43	39	6937.76	4963.92	5251.36	811.99	910.57	540.76	242	173	3421.49	879	4911.18	160	133	209	6677.62	3934.4	3093	110	4257	5715	668.26
NG_031853.2	84	29	60	5673.18	1643.96	845.12	3058	78	6047	11891	6932.49	8174.83	3918.21	8303.45	16156.33	16064.13	5450.47	5330.21	3722.38	13995.6	2131	8773	2085	4543.84	4628	7044	7840	4298	2957	19522.89	4316	1366.48	88	151
NG_031854.1	47	43	85	352	51	101	29	8	26	53	23	24	43	62	9	1	6	11	29	30	7	56	184	78	34	40	59	23	1	14.31	28	20	36	14
NG_031857.1	39	12	43	13.33	3.99	16	17	6	390.07	582	1	5	2	23	16	7	1111	934	1270	6	9	7	19	5	7	2	2	14	3	5	11	1	6	11
NG_031860.1	112	178	28	2015.68	654	286	1589.85	766	86	33	3573	3215	2232	2196	359	207	162	136	133.89	1271	27	61	46	269	42	111.28	180.85	1249	685	28	76	202	8	2600.95
NG_031861.1	265	185	103	1605	1380	809	2853	622	3697	2556	287	269	162	214	316	167	364	644	680	975.2	2438	2854.24	405.7	255	246	92	197	422	137	132	1442	1083	1088	353
NG_031863.1	1824	589	1362	1077	1298	1666	1610	884.08	772	901.29	1121	1015	513	25	7	16	1125.06	1341.35	865.38	27	462	672	882	1079	1118.35	915.05	732.23	3185	2294	2445	494	2640	842.94	140
NG_031871.1	626	245	450	25	35	11	33	4	94	16	2761	2071	1344	28	4	3	11	7	2	24	7	69.78	99	43	26	31	37	2660	5392	6	3256	3	14	394
NG_031875.1	28	26	8	180	75	50	7	4	101.99	9.79	450	414	281	162	49	20	6	1	1	46	79.83	13	0	16	4	10	7	49	0	3	9	4	3	0
NG_031877.1	9	11	9	36	0	0	28	6	73	55	4580	4328	2802	3708.91	1458.1	1510.1	16.13	27.55	15	17	67	15	72	16	13	16	7	6334	3861	31	17	5	7	2
NG_031878.2	139	255	27	449	6	15	19	64	349	56	653.46	1199.41	480.56	1411.02	853	871	2141	1416	1242	187	72	177	3	162	402	739	926	31	7	181	23	38	29	3
NG_031890.1	284	109	268	222.15	62.65	23.79	943.61	6	430	506	355	343	260	87	58	43	1703.96	1410	1128.77	293.58	649	20	194	94.36	68	71	96	11	2	882	37	230.82	767	3
NG_031913.1	203	97	119	324	268	281	69	65	79	92	125	128	88	195.47	80.67	50.22	300	312	318	383	38	166	248	207	24	40	25	281	242	336.4	77	84	15	188
NG_031915.2	2402	680	1502.68	968.59	327.92	1058.06	306.81	939	769.92	683.35	3383	2970	1811	3114.87	2533.4	1625.98	412.03	423.65	358.16	334	145	1000	470	1458.66	2030	2599	2531	40	9	19	252	9	16	1
NG_031923.1	1113	283	704	998	370.27	368	176	24	138	34	1433	1362	792	20	98	74	1467	1958	1874	137	18	1712	372	761	939.93	1509.34	1214.77	347.5	231.65	49.88	32	0	99	31
NG_031929.1	1	2	2	62.98	38	15.26	46.89	7	11	5	86	130	80	31	3	0	0	2	1	8	7	50	4	8	73	108	76	0	1	95	51	3	8	0
NG_031930.1	199.11	31.43	182.47	539	243	247	0	34	224	237	55	26	29	1	1	0	28	16	16	21	13	2	38	82	2	1	1	2	0	4	9	145	3	751.05
NG_031932.1	33	36	8	72	10	9	11	7	21	4	1923.51	1737.38	1072.55	85	195	212	36.03	43.18	34	51	83	1700	281	24	130	162	111	5	6	13	205	196	107	4
NG_031933.1	324	383	215	408	307	176	9	1	186	25	30	18	17	0	8	23	13	13	14	6	6	2270	967	17	6	13	2	1	3	10	1	2	16	1
NG_031944.1	2074	679	1634	8544	2074	3431	1671	19	43	7	4733.1	5314.58	3987.93	3813.94	493.26	217.66	4483.21	3269.38	3681.88	6407	485	4263.57	8908.12	2927.93	1480.39	3896.89	3570.98	4170.11	1629.79	6195.35	33	2406	1938	2452
NG_031957.1	451	152	365	405.22	474	433.19	223	91	650.15	1269	164	175	130	488	206	66	583	490	302	275	327	250	225	413	27	29	57	571.4	246.02	390.66	276	8	131	234
NG_031959.2	2072.08	605	1149.89	2176	1831	2062	1394	348	3408.75	4835.75	1869.21	1456.7	898.75	1996	3149	3982	3373.1	3950.79	2873.33	175	1693.48	415	268	1305	2087	2058	2281	194	89	307	243.42	701	214	649
NG_031962.1	140.01	182.01	29	110.78	21	28	150.95	19	156	46	45	30	56	162.19	15.68	5.81	19.95	22	25.25	239	22	133	618	198	64.41	72	53.05	27	13	46	25	248	866	28
NG_031968.2	273	147	134	246	162	77	435	57	116	120	362	290	237	167.09	27.21	13	120	107	83	175	198	780	143	334	75	101	108	77	33	112	513	42	13	270.85
NG_031972.1	713	296	249	180	145	87	669	190	96.93	95.06	30	50	29	1449	198	73	3080	2373	2664	35	49	85	194	31	70	171	325.83	1324	812	1131.6	67.11	669.03	210	5
NG_031973.2	91	85	32	67	30	2	3054.74	9	2740.65	1422.48	2090	2410	1604	1780.98	227.45	124	30	34	44	2048.59	183	2172.47	3623.72	1866	2213.51	3204.59	4014.63	51.13	2.01	105	96	0	4	0
NG_031974.1	2019	567	1114	2249.55	954.56	350.37	1363.43	44	1045.34	2300.93	2686.57	1987	1462	1886	1480	1055	3030.39	3096.64	2708.81	2420.94	79	3082.32	52.92	759	1504.2	2141.66	2527.92	19	7	87	127	823.48	425.61	31
NG_031988.1	33	41	13	27	7	28	22	104	206	435	15	15	4	36	11	10	16	41	23	24	191	3794.42	1314	12	3251	3075	2674	14	3	13	26	3	2	3
NG_031991.1	23	12	13	409	587	776	29	13	14	14	8.08	8	6	13	9	19	79	122	77	42	16	4	8	5	7	9	10	3	3	2	41	23	5.45	18
NG_032003.1	8069	4324	4311	14952	3099	3956	82	2286	7449.45	7443.57	7282.13	7805.79	4086.92	80	102	37	8551.4	9630.39	7865.09	9004	162	33	88	108	2995	3233	3601	9906	2504	6	45	78	34	1
NG_032011.2	5031	1630	3694	964	884	1081	38	15	4112	4739	3667	3788	2576	3710	1191	501	26	42	34	1203	1796	2439	1237	4857	2116	2397	3489	13	0	16	351	26	209	28
NG_032024.1	34	4	26	3836.63	5465.91	9760	33	97	1936.74	1754.84	71	134	60	169	442	350	1476.79	1869.5	2208.1	324.89	74	166	15	2429	2816	4922	3612	21	23	20	556.05	969.79	327.03	2036.55
NG_032029.1	99	60	41	424	362.82	174	1004	257	1564.62	1530.63	505.36	489.2	270.59	609	774	745	2258	2225	804	13	17	11	0	300	483	537.68	687	3	0	1174	20	144	94.02	7
NG_032035.1	3505	598	2301	100	47	41	82	75	328	34	3145	3014	1947	380	158	98	4943	3996	3877	60	220	28	125	521	607	397	446	178	35	25	3	1889.64	600.97	3098
NG_032036.1	4836	886	5093	5421	2183	1613	8903	4957	2917	3546	4738.06	4487.84	2316.3	10608.27	14785.5	13265.11	10856	11463	9528	1376	8286.7	9148	1682.5	5402	7951	12025	10298	6587	1876	10402	4109.92	3516	3980	16492.32
NG_032042.1	2129	457	2107	3317	1491	1125	2095.19	946	787	1067	15	24	14	219	231	141	1884	1984	1625	636	705	2670	979.26	878	26	53	24	36	6.27	6356	3	17	8	0
NG_032046.2	1.96	1.92	0.97	455	55	42	2	4.83	1	3	3	12	4	0	2	0	1	5	25	37	1	1	6	15	134	123.02	155	29	6	9	4	8	13	4
NG_032047.1	51	7	18	120	27	18	306	112	876	681	606	470	271	1054	975	600	111	257	167	179	110	61	18	24	546	761	514	340	131	172	37	124	5	110
NG_032048.1	150	87	91	286	17	30	29	7	3	13	404	249	187	48	6	3	58	49	53	108	83.43	46	107	13	244	92.46	365	14	2	22	170	73	46	63.06
NG_032059.1	286.86	139.9	174.31	333	232	296	640	317	553	628	705	636.47	383.02	220	364	539	1730	1529	1454	215	649	923	703	30	333	348	310	7	7	242.85	12	127	97	273
NG_032072.1	16	4	4	62	0	6	1296	14	18	2	54	131	65	500	188	98	70	64	57	14	17	427	1210	875	5	29	12	1	0	13.76	422.66	5	7	15.26
NG_032073.1	448	135	272	776	252	59	194	278	485.85	1400.38	1003	1282.51	630	1773	667	625	2195.27	1831	2097	1462	1699	413	243	159	13	23	56	36	44	79	24	1336	375	2211.83
NG_032079.1	2174.96	567.07	1269.66	2859	1629	609	1744.08	18	2485.25	6435.13	1996	1842	999	2051	1680	939	3858	3072	2399	1253.26	1008	4148	909	1589	1873	2131	2307	1216	774	140	11	24	0	27
NG_032091.1	538	221	313	3626.98	985.47	720	49	10	58	17	3895	4141	2488	50	51	71	5378	4193	3995	82	3115.79	40	253	117.77	29	19	44	21	3	24	1828.84	3588	1131	6
NG_032093.2	730	350	425	2938.93	660.17	204.85	622	27	147.23	95.81	2780	3288	1459	107	31	11	1000	1014	891	301	289	1901	56	51	32	32	41	235	62	969.87	626.37	681	508	288
NG_032108.1	8.14	75.52	2.66	2276	624.81	735	117.77	10	26	32	4389.71	3651.6	2379.92	2504.72	739.42	347.31	36.73	50	44	3416	74	85.55	0	43	1798.79	2796.87	3267.5	5.5	25	1881.53	148	81	138	894.33
NG_032111.1	365	79	247	232	82	47	236.86	116	17	26	2495	1843	1236	436	485	693	22	28	10	86	14	412	62	563	373	463	405	5	2	20	23	36.27	9.95	50.08
NG_032135.1	3100	887	1401	537	601	776	658.77	709.99	23140.91	22449.71	5855	6020	2937	4660.35	11370	15006	46	17	25	6664	165	4075	1041	28	2708	3550	4396	3010	1002.73	8	256	409.21	131.02	274.48
NG_032143.1	7732.09	2113	5512.01	5317.47	4120.46	5320.6	74	42	5924	7172	8822.39	8921.8	4225.59	8438.89	17386.06	22300.92	35	57	35	99	38	557	675	5743	6924	7614.2	5567.37	4	9	9	322	28	35	5
NG_032159.2	41	34	14	1	10	36	4	10	22	6	13	17	14	271	317	373	47	48	58	8	5	9	60	85	16	15	7	12	10	12	44	111	18	2
NG_032161.1	3749	1453.08	2881.76	3518.63	2726	1733.87	216.69	1272.88	307	491	2237.89	2515.26	1134.99	1837	2450	2808	3715.62	4061.42	2834.59	1381	742	4778.94	613.45	2026	3278	3951	3481	28	29	24	240	27	16	6
NG_032162.2	88	10	19	4219	1602	1834	171.17	2839	4194.91	8558.23	4307.06	4435.31	2594.68	5274	6227	6445	231.98	359.54	259.07	178	1028.72	132	0	1576	2030	2182	1597	36	27	805.08	203	273	119	96
NG_032163.1	1747	585	1312	1837.59	567.35	601.92	1236	699.63	1169.22	1874	1473	1449	812	1493	656	462	37	31	35	960	102	1303	592	1457	1392	1566	1437	7	9	39.38	24	7	0	9
NG_032169.1	33	74	27	12	15	75.6	1914.63	18	207	226	19	12	9	9	1	3	709	470	436	1998	256	65	95	20	12	5	5	28	12	27	80	160	62	22
NG_032172.1	412	201	270	0	0	41	81	39.83	13	30	77	51	58	203	70	42	239	168.39	190	647	957	177	149	15	48	49	68	4	2	531	662	0	16	24
